rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/x_men_days_of_future_past,Peter Travers,True,Rolling Stone,Fresh,3.5/4,2014-05-22,"Step up, cynics, and see the summer 2014 blockbuster that gets damn near everything right."
m/x_men_days_of_future_past,Michael Sragow,True,Orange County Register,Fresh,A,2014-05-22,"The most exciting big-studio release so far this year is X-Men: Days of Future Past. It tops even Captain America: The Winter Soldier, another bold Marvel superhero film, for ambition, emotion and thrills."
m/x_men_days_of_future_past,Susan Granger,False,SSG Syndicate,Fresh,7/10,2014-05-22,Suspenseful and satisfying sequel/prequel.
m/x_men_days_of_future_past,Paul Chambers,False,Movie Chambers,Fresh,A,2014-05-22,"""X-Men: Days of Future Past"" is more than just a gathering of super-heroes. It's a symphony of superbly coordinated action scenes that, as a whole, will appeal to the mainstream, not just the comic book crowd."
m/x_men_days_of_future_past,Bill Gibron,False,Film Racket,Fresh,3.5/5,2014-05-22,X-Men: Days of Future Past does have its merits. Keeping its mouth shut is not one of them.
m/x_men_days_of_future_past,Ty Burr,True,Boston Globe,Fresh,3/4,2014-05-22,"""X-Men: Days of Future Past"" upholds the acceptably high batting average of Marvel's second-tier movie franchise."
m/x_men_days_of_future_past,Joe Morgenstern,True,Wall Street Journal,Fresh,,2014-05-22,"Everything is of a piece, and it's dazzling."
m/x_men_days_of_future_past,Andrew O'Hehir,True,Salon.com,Fresh,,2014-05-22,"I basically really enjoyed this movie, even while lamenting that I was enjoying it under mendacious premises and that there was something fundamentally cynical about its elegiac, retrospective tone."
m/x_men_days_of_future_past,Jon Niccum,False,Kansas City Star,Fresh,3/4,2014-05-22,"The novelty has somewhat worn off after we've been bombarded by six previous ""X-Men""/""Wolverine"" efforts and umpteen other Marvel flicks. But the talent has never been better than in this rousing adventure."
m/x_men_days_of_future_past,Randy Shulman,False,"Metro Weekly (Washington, DC)",Fresh,4/5,2014-05-22,"Singer keeps tight narrative control over a complicated plot, showcasing his directorial gifts in a magnificent climax that shuttles between two timelines with artistry."
m/x_men_days_of_future_past,Dana Stevens,True,Slate,Fresh,,2014-05-22,"It's maximalist Hollywood filmmaking at its best, the kind of extravagant production that, like a Wagner opera, can sweep you up in a sense of mythic grandeur even as you struggle to follow what's going on."
m/x_men_days_of_future_past,Chris Cabin,False,Slant Magazine,Rotten,2/4,2014-05-22,It only conveys the awesome strangeness of its characters and their universe when director Brian Singer breaks away from the perpetual build-up of the film's unwieldy plot.
m/x_men_days_of_future_past,Matthew Lickona,True,San Diego Reader,Fresh,2/5,2014-05-22,"After a chunky, [derivative] opening, Bryan Singer's return to the world of 'Mutants are people too, only better' settles into a '70s-style actor's showcase."
m/x_men_days_of_future_past,Joe Williams,True,St. Louis Post-Dispatch,Fresh,3/4,2014-05-22,"Some sequels have such a complicated back story they should come with printed footnotes. The latest sequel in the ""X-Men"" series requires an encyclopedia that can be read in a fun-house mirror."
m/x_men_days_of_future_past,Steven D. Greydanus,False,National Catholic Register,Fresh,A-,2014-05-22,"If more comic-book movies were like this, there'd be less complaining about how many of them there are."
m/x_men_days_of_future_past,Mick LaSalle,True,San Francisco Chronicle,Fresh,3/4,2014-05-22,"Most important, there is an emotional undercurrent in this installment that the earlier films only aspired to."
m/x_men_days_of_future_past,Devin Faraci,False,Birth.Movies.Death.,Fresh,,2014-05-22,"It's what this series should have always been, a story about a small family of misfits who argue and disagree and sometimes betray each other, but who still can't help loving one another."
m/x_men_days_of_future_past,Drew Taylor,False,The Verge,Rotten,,2014-05-22,The problem is that these moments don't add up to much because the movie has very little in the way of actual stakes or tension.
m/x_men_days_of_future_past,Richard Roeper,True,Richard Roeper.com,Fresh,4/5,2014-05-22,A mind-bending thrill ride with great special effects.
m/x_men_days_of_future_past,Joe Gross,False,Austin American-Statesman,Fresh,B+,2014-05-22,"Make no mistake: This one is for serious X-Men movie geeks. It does smart stuff with B-listers, papers over a few continuity burps and delivers a multivalent climax and denouement that pretty much defines ""fan service."""
m/x_men_days_of_future_past,Michael O'Sullivan,True,Washington Post,Fresh,3/4,2014-05-22,"""Days of Future Past"" is, in itself, as intoxicating as a shot of adrenaline. It's what summer movies are meant to be."
m/x_men_days_of_future_past,James Rocchi,True,Film.com,Fresh,7.2/10,2014-05-22,"It's a brilliant gameplan for a studio: Manipulate time and space to make the X-Men movies infinitely re-bootable, infinitely re-castable and assuredly profitable, until it sounds like, and is, a kind of prayer: Forever and ever, X-Men."
m/x_men_days_of_future_past,Chris Blohm,True,Little White Lies,Fresh,4/5,2014-05-22,"A giddy rush of superhero thrills, spills and epic set-pieces."
m/x_men_days_of_future_past,Stephen Silver,False,EntertainmentTell,Fresh,4.5/5,2014-05-22,"This is a fantastic movie. It looks great, has very good performances from a whole bunch of actors who I like a lot, and stages action sequences that are both coherent and impressive. The screenplay might be the best part of all"
m/x_men_days_of_future_past,Chris Hewitt,False,St. Paul Pioneer Press,Fresh,3/4,2014-05-22,Singer does a nice job of connecting the bleakness of the '70s with the optimistic spirit that inspired the X-Men in the first place.
m/x_men_days_of_future_past,Simon Abrams,True,RogerEbert.com,Fresh,2.5/4,2014-05-22,"There's just enough right in ""Days of Future Past"" to off-set what's wrong."
m/x_men_days_of_future_past,Amy Nicholson,True,L.A. Weekly,Rotten,C+,2014-05-22,It's like discovering your box of Milk Duds is really chocolate-covered vitamins.
m/x_men_days_of_future_past,Chris Bumbray,False,JoBlo's Movie Network,Fresh,9/10,2014-05-22,The film X-Men fans have been waiting for. It lives up to their expectations and then some. A truly epic installment.
m/x_men_days_of_future_past,Rene Rodriguez,True,Miami Herald,Fresh,3/4,2014-05-22,"This is the best, most entertaining and mature comic-book Hollywood franchise currently in existence."
m/x_men_days_of_future_past,Carla Meyer,False,Sacramento Bee,Rotten,2/4,2014-05-22,"Drab in look and overly talky, X-Men: Days of Future Past lacks the life force and lilt of its 2011 predecessor, X-Men: First Class."
m/x_men_days_of_future_past,Peter Bradshaw,True,Guardian,Fresh,3/5,2014-05-22,A dizzying but enjoyable ride.
m/x_men_days_of_future_past,Danny Leigh,True,Financial Times,Fresh,3/5,2014-05-22,"In a film at one with its own absurdity, near-camp delirium is the strongest suit."
m/x_men_days_of_future_past,Dann Gire,False,Chicago Daily Herald,Fresh,3/4,2014-05-22,"Singer, who directed the first X-Men movie 14 years ago, brings back a joyful comic book feel to the series."
m/x_men_days_of_future_past,Kimberley Jones,False,Austin Chronicle,Fresh,3/5,2014-05-22,"Days of Future Past capitalizes on the audience's familiarity with the many players and their complex backstories, but never advances the ball down the field, tenders no new thought or wrinkle to the franchise."
m/x_men_days_of_future_past,Caryn James,False,James on screenS,Fresh,,2014-05-22,"Bold and entertaining, this is not as sleek or clever as X-Men:First Class, but makes up for those lapses with McAvoy's fiercely emotional performance and dazzling set pieces."
m/x_men_days_of_future_past,Matt Pais,False,RedEye,Rotten,2/4,2014-05-22,A double whammy for those suffering both superhero and time-travel fatigue.
m/x_men_days_of_future_past,Frank Swietek,False,One Guy's Opinion,Fresh,A-,2014-05-22,"Not only the best film in the 'X-Men' series, but one that rivals the best super-hero movies of the past. Inventive and slick in the best sense, it continues the franchise's rejuvenation and whets the appetite for more."
m/x_men_days_of_future_past,Matt Singer,False,The Dissolve,Fresh,3.5/5,2014-05-22,"At its best, Days Of Future Past feels not just like an X-Men comic book, but like an X-Men comic-book crossover"
m/x_men_days_of_future_past,Marc Mohan,False,Oregonian,Fresh,B+,2014-05-22,"The worry with a movie this crammed full of characters and incident will feel rushed and/or incoherent, but that's not really a problem here."
m/x_men_days_of_future_past,Blake Howard,False,2UE That Movie Show,Fresh,4/5,2014-05-22,"... the return of the franchise's prodigal son, Bryan Singer, and Oscar winning screenwriter Simon Kinberg adapting one of the defining X-Men comic arcs; the stars have aligned for the X-Men's answer to The Avengers."
m/x_men_days_of_future_past,Marshall Fine,False,Hollywood & Fine,Fresh,,2014-05-22,"An OK comic-book movie which, like so many of these efforts, has a reach that far exceeds its grasp. It's not bad but it could have been lots better."
m/x_men_days_of_future_past,Simon Gallagher,False,What Culture,Fresh,4/5,2014-05-22,"Something old, something new, some Bolivar, something blue..."
m/x_men_days_of_future_past,Ignatiy Vishnevetsky,True,AV Club,Fresh,B,2014-05-22,"For better or worse, X-Men: Days Of Future Past is the first Marvel movie to truly embrace comics-style storytelling."
m/x_men_days_of_future_past,Joe Neumaier,True,New York Daily News,Fresh,3/5,2014-05-22,"The movie finds a lot of success, largely due to solid work from a lot of extraordinary actors. They maneuver around a jam-packed plot that, in lesser hands, could have left you looking at your watch."
m/x_men_days_of_future_past,Josh Bell,False,Las Vegas Weekly,Fresh,3.5/5,2014-05-22,Both a satisfying capstone for the series so far and a solid starting point for future installments.
m/x_men_days_of_future_past,Michael Dequina,False,TheMovieReport.com,Fresh,3.5/4,2014-05-23,Captures the true essence of what has made and will make the X-Men's uncanny popularity survive and thrive in days of future and past.
m/x_men_days_of_future_past,Tim Martain,False,The Mercury (Australia),Fresh,4/5,2014-05-23,This is Mystique's movie. The filmmakers are obviously making the most of Jennifer Lawrence's current star power by putting her right out front for this one.
m/x_men_days_of_future_past,Cameron Williams,False,The Popcorn Junkie,Fresh,3/5,2014-05-23,A jumble of mutant melodrama that's pleasing but never wholly poignant.
m/x_men_days_of_future_past,Kevin Carr,False,Fat Guys at the Movies,Fresh,4/5,2014-05-23,one of the best X-Men movies ever made
m/x_men_days_of_future_past,Margaret Pomeranz,False,At the Movies (Australia),Fresh,3.5/5,2014-05-23,Amazing what substance in performance can do to distract from the incredible and incredibly silly.
m/x_men_days_of_future_past,Jeanne Kaplan,False,Kaplan vs. Kaplan,Rotten,,2014-05-23,"How do you screw up a movie starring James McAvoy, Hugh Jackman, Michael Fassbender, Nicholas Hoult and Peter Dinklage, to name a few? I'll give you a hint --- the script!"
m/x_men_days_of_future_past,Christopher Orr,True,The Atlantic,Fresh,,2014-05-23,I would be remiss not to note that tucked away amid all the existential melodrama is perhaps the most hilarious set piece ever to grace a superhero film.
m/x_men_days_of_future_past,David Kaplan,False,Kaplan vs. Kaplan,Rotten,,2014-05-23,The novelty has worn off...but I think its greatest appeal will certainly be to devotees of the genre.
m/x_men_days_of_future_past,Josh Larsen,False,LarsenOnFilm,Rotten,1.5/4,2014-05-23,"There's no zip, no driving force, no personality to these movies, other than what the overqualified actors manage to squeeze out of their individual scenes."
m/x_men_days_of_future_past,Perri Nemiroff,False,Shockya.com,Rotten,2.5/5,2014-05-23,"Sentinels, good, bad, future, past, who cares? This movie needs more Quicksilver!"
m/x_men_days_of_future_past,Annlee Ellingson,False,L.A. Biz,Fresh,,2014-05-23,X-Men earns another shot at being a seminal comic-book franchise.
m/x_men_days_of_future_past,Kofi Outlaw,False,Screen Rant,Fresh,4.5/5,2014-05-23,"X-Men: Days of Future Past succeeds at being a thrilling and fun superhero movie, balanced by well-earned dramatic weight."
m/x_men_days_of_future_past,Bob Mondello,True,NPR,Fresh,7.5/10,2014-05-23,"Quicksilver ... is the coolest of this picture's new guys, zipping around so fast ... that he can taste soup, rearrange guards' limbs, and nudge bullets off their trajectories all in the time it takes to blink."
m/x_men_days_of_future_past,Wilson Morales,False,BlackFilm.com,Fresh,4/5,2014-05-23,Singer not only elevates the action to delight the fans and newcomers but he delivers a fast-paced emotional storyline that blends in all of the previous films without confusing anyone. Certainly a first rate entertainment among the Marvel films to date.
m/x_men_days_of_future_past,Monica Castillo,False,Movie Mezzanine,Rotten,C+,2014-05-23,"Just solid fan service. Good action, decent actors, and a chance to see them all in action doesn't pardon the convoluted glut of messy time-travel exposition."
m/x_men_days_of_future_past,Laurence Phelan,True,Independent (UK),Fresh,4/5,2014-05-23,"A pleasingly coherent, plot-driven action movie, positively streamlined by the standards of today's superhero blockbusters."
m/x_men_days_of_future_past,Maeve Richardson,False,Irish Independent,Fresh,,2014-05-23,"While the complex relationships between the large cast are emotive and genuinely compelling, there's plenty of humour on show."
m/x_men_days_of_future_past,David Berry,False,National Post,Rotten,2.5/4,2014-05-23,"Amongst the flying robots and the claws coming out and the ceaseless wisecracks, there isn't really much of a human story to grab on to."
m/x_men_days_of_future_past,Katherine Monk,False,Canada.com,Fresh,4/5,2014-05-23,"Singer's clever uses of period style and sound... [provides] an extra dimension, beyond 3D visuals, capable of delivering a larger, deeper, emotional experience because it offers context to the endless, chaotic action."
m/x_men_days_of_future_past,Scott Wold,False,Paste Magazine,Fresh,8.5/10,2014-05-23,"[It's] filled to near bursting as its enormous cast scrambles through the vagaries of its time travel paradox-rich design. But Singer threads the needle with such apparent effortlessness in stitching it all together, the seams are practically invisible."
m/x_men_days_of_future_past,John Gholson,False,Movies.com,Fresh,,2014-05-23,It's a solid installment. But it would've been a killer curtain call.
m/x_men_days_of_future_past,Kirk Baird,False,Toledo Blade,Fresh,5/5,2014-05-23,"Simply put, Days of Future Past is the best X-Men yet, a superhero highlight reel that rivals The Avengers' energy and popcorn fun and matches The Dark Knight's brooding tone and memorable arch nemesis."
m/x_men_days_of_future_past,Alex Pappademas,True,Grantland,Rotten,,2014-05-23,"The plot is about a fearful society whose expansion of its security apparatus has unintended consequences, but Singer doesn't even touch the story's topical resonances... There's also no real moral quandary to be grappled with."
m/x_men_days_of_future_past,Jeffrey M. Anderson,False,Combustible Celluloid,Fresh,3.5/4,2014-05-23,"The complex movie begins juggling and balancing its storyline with astounding skill, as if its various pieces were made of metal and Magneto himself were in charge."
m/x_men_days_of_future_past,Justin Craig,False,FoxNews.com,Fresh,8/10,2014-05-23,"With Singer back at the helm and a marvelous cast to boot, ""X-Men: Days of Future Past"" is the best in the franchise and possibly the best superhero film yet this year."
m/x_men_days_of_future_past,Mark Ellis,False,Schmoes Know,Fresh,4.5/5,2014-05-23,"""X-Men: Days of Future Past"" uses fantastic storytelling and mesmerizing action to become the greatest film any mutants - teenage or otherwise - have ever been a part of."
m/x_men_days_of_future_past,Kristian Harloff,False,Schmoes Know,Fresh,5/5,2014-05-23,"Quite simply, ""X-Men: Days of Future Past"" ensures the legacy of the ""X-Men"" movies being among the best franchises the comic books have to offer."
m/x_men_days_of_future_past,James Verniere,False,Boston Herald,Fresh,B-,2014-05-23,Can I go back in time and not see the last WOLVERINE movie?
m/x_men_days_of_future_past,Will Leitch,False,Deadspin,Fresh,B+,2014-05-23,"X-Men: Days of Future Past is a thrilling, hey-what-if comic-book movie that hits just about every mark you'd reasonably want it to hit. It's not easy to surprise in a blockbuster these days. It's a rare treat to find one that even tries."
m/x_men_days_of_future_past,S. Jhoanna Robledo,False,Common Sense Media,Fresh,4/5,2014-05-23,Time-traveling superhero sequel has lots of action violence.
m/x_men_days_of_future_past,Lisa Kennedy,True,Denver Post,Fresh,,2014-05-23,"Perhaps more than any other superhero franchise, X-Men captures the overlapping fantasies of being unique yet not alone, and of being a hero but also being saved."
m/x_men_days_of_future_past,Gary Wolcott,False,Tri-City Herald,Fresh,3/5,2014-05-23,"You'll love it if Marvel comic book movies are your thing. If not, it's a yawner."
m/x_men_days_of_future_past,Vincent Mancini,False,FilmDrunk,Fresh,B,2014-05-23,"Painfully, charmingly earnest, and intensely entertaining even when it's not making much sense. Does that one incredible action sequence make up for a creaky plot and Booboo Stewart? It's up for debate."
m/x_men_days_of_future_past,John Serba,False,MLive.com,Rotten,2.5/4,2014-05-23,"An overplotted conglomeration of events that I found diverting, yet meaningless and emotionally uninvolving."
m/x_men_days_of_future_past,Kurt Loder,False,Reason Online,Fresh,,2014-05-23,Singer's gift for blending slamtastic action and monumental CGI setpieces with deep feeling and droll humor fully honors the classic Marvel comics.
m/x_men_days_of_future_past,Robert Denerstein,False,Movie Habit,Fresh,,2014-05-23,"If we have to have comic-book movies, they should all be this fun"
m/x_men_days_of_future_past,Brian Orndorf,False,Blu-ray.com,Fresh,B+,2014-05-23,"With some careful retcon work and a rich understanding of mutant appeal, Singer has returned excitement and sophistication to the series, reemerging with a defined plan of attack in this sweeping sequel."
m/x_men_days_of_future_past,Ethan Alter,False,NYC Film Critic,Fresh,,2014-05-23,"Even with its various stumbles and shortcomings, Days of Future Past provides consistently earnest and entertaining comic book movie spectacle"
m/x_men_days_of_future_past,Brian Viner,False,Daily Mail (UK),Fresh,3/5,2014-05-23,"The latest in the series in no way lets down the six that came before, and sets a pretty high bar for the many doubtless yet to come."
m/x_men_days_of_future_past,Rebecca Cusey,False,Patheos,Fresh,,2014-05-23,"Everything you want in a time-traveling, mutant-filled, disco-styled, over-the-top, effects-filled extravaganza."
m/x_men_days_of_future_past,Rob Thomas,False,Madison Movie,Fresh,3/4,2014-05-23,"After being burned out on the X-Men for a while, I'd be up for another outing. Maybe in the next film they can head back to the '80s (""Mr. Magneto, tear down this wall!"")"
m/x_men_days_of_future_past,Charlotte O'Sullivan,True,London Evening Standard,Fresh,3/5,2014-05-23,"To ensure long-term survival, this franchise needs to evolve. In terms of the competition, however, it's still light years ahead."
m/x_men_days_of_future_past,Jonathan W. Hickman,False,Daily Film Fix,Fresh,8/10,2014-05-23,"As action-packed as it is, the quiet moments work best and, like 2011's First Class, the superhero universe of the X-Men is a cut above its comparatively cheesier brethren."
m/x_men_days_of_future_past,Adam Nayman,True,Globe and Mail,Fresh,3/4,2014-05-23,"Having already directed the first two (and superior) X-Men films, Singer shows a level of comfort with both the material and the cast ..."
m/x_men_days_of_future_past,Bruce Kirkland,False,Jam! Movies,Fresh,4/5,2014-05-23,X-Men: Days of Future Past is the smartest and most complicated superhero movie in years.
m/x_men_days_of_future_past,Elias Savada,False,Film Threat,Fresh,4.5/5,2014-05-23,You really should see X-Men: Days of Future Past on the big screen. The heart-pumping effects are worth it alone. And the cleverness and wit are outstanding.
m/x_men_days_of_future_past,Jason Best,False,Movie Talk,Fresh,4/5,2014-05-23,"The jailbreak is the film's most giddily entertaining episode... Witty, cheeky and utterly disarming, like mischievous prankster Quicksilver himself, the scene is a delight."
m/x_men_days_of_future_past,Daniel Eagan,False,Film Journal International,Fresh,,2014-05-23,"The Marvel machine cranks out another fine-tuned blockbuster with X-Men: Days of Future Past, a vigorous entry in the long-running franchise."
m/x_men_days_of_future_past,David Edelstein,True,New York Magazine/Vulture,Fresh,,2014-05-23,"[Singer is] reborn - deft, elegant, spring-heeled - in X-Men: Days of Future Past. The special effects don't bog him down: They lift the movie to a surreal and more emotional dimension."
m/x_men_days_of_future_past,Dave White,False,Movies.com,Fresh,4/5,2014-05-23,"At its heart the X-Men story is a parable about difference, subjugation and redemption, an alternate history of humanity where justice evolves as the oppressed model the decency and responsible use of power they've been denied."
m/x_men_days_of_future_past,Rob Vaux,False,Mania.com,Fresh,A-,2014-05-23,"The Winter Soldier still rules the Marvel roost this year, but the Merry Mutants over at Fox refused to concede the crown without a fight."
m/x_men_days_of_future_past,Julian Roman,False,MovieWeb,Fresh,4/5,2014-05-23,"Strap yourself in kids, because this is why you go to summer movies. Director Bryan Singer has absolutely nailed Days of Future Past."
m/x_men_days_of_future_past,Jim Judy,False,Screen It!,Fresh,,2014-05-23,This film still has enough substance (and a cast to drool over) to play far better than the likes of the over-hyped 'Avengers.' (Full Content Review for Parents also available)
m/x_men_days_of_future_past,Willie Waffle,False,WaffleMovies.com,Fresh,4/4,2014-05-23,Amazing
m/x_men_days_of_future_past,Tom Long,True,Detroit News,Fresh,B,2014-05-23,"The fireworks, the super-power circus, lots of surprise cameos and Big Moments - ""X-Men: Days of Future Past"" has them all. Logic? Who cares?"
m/x_men_days_of_future_past,Steven Rea,True,Philadelphia Inquirer,Fresh,3/4,2014-05-23,"Ambitious, even audacious, the movie's mix of action and for-devotees-only intrigue can overwhelm, but there are moments of sheer virtuosity, too ..."
m/x_men_days_of_future_past,Michelle Alexandria,False,Eclipse Magazine,Rotten,C,2014-05-23,"Could have been so much more if not for the relentless focus on Wolverine and Magneto. While their performances were good, just sucked the life out of the film. Felt like a retread of the far superior X-Men: First Class."
m/x_men_days_of_future_past,Eric D. Snider,False,EricDSnider.com,Fresh,B,2014-05-23,"Delivers intelligent action, consistent humor, and a compelling narrative."
m/x_men_days_of_future_past,Jim Schembri,False,3AW,Fresh,3/5,2014-05-24,"More of the same, only bigger, louder and messier as the pretty-good sequel to the very-good 2011 prequel pushes the ""franchise extender"" mentality currently consuming Hollywood to new extremes."
m/x_men_days_of_future_past,Jason Zingale,False,Bullz-Eye.com,Fresh,3/5,2014-05-24,"There's quite a bit to like about Days of Future Past, but it feels more like a step backward than the creative leap forward that Matthew Vaughn's prequel pointed towards."
m/x_men_days_of_future_past,Ed Whitfield,False,The Ooh Tray,Fresh,,2014-05-24,Singer's reprise is too busy to make sense...two and a half cheers.
m/x_men_days_of_future_past,Adam Fendelman,False,HollywoodChicago.com,Fresh,4/5,2014-05-24,Blockbuster films so often blow so much of their budget on special effects but think of the plot as an afterthought. This one dares to reverse that mistake by investing heavily in its writing and allowing CGI to perfectly complement it.
m/x_men_days_of_future_past,Matt Brunson,False,Creative Loafing,Fresh,3.5/4,2014-05-24,"It's that kind of movie: knowledgeable, emotional, and packed with incident and excitement."
m/x_men_days_of_future_past,Scott Nash,False,Three Movie Buffs,Fresh,4/4,2014-05-24,"In the glut of superhero films flooding theaters these days, the X-Men series stands above the rest."
m/x_men_days_of_future_past,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B+,2014-05-24,It's more enjoyable than the other blockbuster action super-hero films that have been released so far this summer.
m/x_men_days_of_future_past,Betty Jo Tucker,False,ReelTalk Movie Reviews,Fresh,,2014-05-25,"Wolverine gets lots of camera time, visual effects look stunning, the time-travel theme is intriguing -- though sometimes confusing - and HOPE emerges as the film's appealing message."
m/x_men_days_of_future_past,Diva Velez,False,TheDivaReview.com,Fresh,3.5/5,2014-05-25,"While entertaining and bolstered by excellent pan-X-Universe performances, Days of Future Past is a grimmer, less exhilarating chapter in the saga."
m/x_men_days_of_future_past,Mike McGranaghan,False,Aisle Seat,Fresh,3.5/4,2014-05-25,"Hits that sweet spot of being really exciting and just substantive enough to earn our engagement. In the comic book-movie realm, it sits comfortably in the upper echelon."
m/x_men_days_of_future_past,Tony Macklin,False,tonymacklin.net,Fresh,3/5,2014-05-25,X-Men: Days of Future Past is full of sound and fury signifying box office.
m/x_men_days_of_future_past,Mark Keizer,False,Alt Film Guide,Fresh,4/5,2014-05-25,"A rollicking, if sometimes convoluted, good time, featuring a high-toned cast and a seriousness of purpose that sets it apart from the candy-colored Marvel-produced films and Sony's underwhelming Amazing Spider-Man series."
m/x_men_days_of_future_past,Robert Roten,False,Laramie Movie Scope,Fresh,B,2014-05-26,"On the whole, this film is well-acted and there is plenty of action. The plot could have been better, but most of the plot problems are not large ones. The special effects are very good, and the film looks good in 3D."
m/x_men_days_of_future_past,Kam Williams,False,Baret News,Fresh,4/4,2014-05-26,"X-Men, a fabled franchise that, like a fine wine, just keeps improving with age."
m/x_men_days_of_future_past,Tim Brayton,False,Antagony & Ecstasy,Fresh,8/10,2014-05-27,"Does a fine job of portraying the broad-strokes emotional storytelling that popcorn movies are best at... very fun and very operatic, large and imposing and dazzling."
m/x_men_days_of_future_past,Adam Ross,False,The Aristocrat,Fresh,4/5,2014-05-27,"...funny, sharp, and breathlessly paced, and is one of the few films this year that are worth the exuberant price of a current 3D ticket. Bring on X-men: Apocalypse."
m/x_men_days_of_future_past,Mal Vincent,False,The Virginian-Pilot,Fresh,3/4,2014-05-27,"It's significantly better than most of the previous ""X-Men"" outings."
m/x_men_days_of_future_past,Mathew DeKinder,False,Suburban Journals of St. Louis,Fresh,4/5,2014-05-27,"At least we can have moments like ""Days of Future Past"" where the crew that started it all can pop in and remind us of how it is supposed to be done."
m/x_men_days_of_future_past,Clint O'Connor,False,Cleveland Plain Dealer,Fresh,A-,2014-05-27,X-ceptional movie fun.
m/x_men_days_of_future_past,Tom Glasson,False,Concrete Playground,Fresh,4/5,2014-05-28,"Dark, enthralling and undeniably exhilarating, this is the X-Men movie for X-Men aficionados."
m/x_men_days_of_future_past,David Keyes,False,Cinemaphile.org,Fresh,3/4,2014-05-28,"There is never a dull moment here as we watch on, uninterrupted, with constant interest in an ambitious display of paradoxes and riddles."
m/x_men_days_of_future_past,Christy Lemire,True,ChristyLemire.com,Fresh,3.5/4,2014-05-28,"The results are both dazzling and intimate, clever and - during one tour-de-force sequence - spectacularly funny."
m/x_men_days_of_future_past,Bob Grimm,False,Reno News and Review,Fresh,4/5,2014-05-29,That Singer fellow sure can make an X-Men movie.
m/x_men_days_of_future_past,Ben Sachs,True,Chicago Reader,Rotten,,2014-05-29,"Much of this takes place in the early 1970s, which gives the filmmakers an excuse to haul out lots of vintage kitsch and make some rather tasteless references to the Vietnam war."
m/x_men_days_of_future_past,Margot Harrison,False,Seven Days,Fresh,7/10,2014-05-29,"Wonder of wonders, it has what too many blockbusters lack: villains with motivations beyond ""world domination."""
m/x_men_days_of_future_past,Rich Cline,False,Contactmusic.com,Fresh,4/5,2014-05-29,"Continuing to be the most original and resonant of the Marvel superhero franchises, the X-men return in the capable hands of director Bryan Singer, who again stirs plenty of meaty subtext beneath the thrilling action."
m/x_men_days_of_future_past,David Nusair,False,Reel Film Reviews,Fresh,3/4,2014-05-29,...an erratic yet rewarding entry within this ongoing series.
m/x_men_days_of_future_past,Fred Topel,False,CraveOnline,Fresh,7/10,2014-05-30,"It's more like a Roger Moore James Bond movie, maybe even Moonraker but I say that as a Bond fan who appreciates the blatant outrageousness of Moonraker. If Moonraker sounds like an insult, then Days of Future Past is at least Octopussy."
m/x_men_days_of_future_past,Evan Williams,False,The Australian,Fresh,,2014-05-30,Those with wistful memories of the 1970s will find plenty to like in X-Men: Days of Future Past.
